timestamp,interface,speed_mbps
2025-09-01T00:00:00+02:00,eth0,821.942
2025-09-01T00:00:00+02:00,eth1,358.168
2025-09-01T00:00:00+02:00,wlan0,102.077
2025-09-01T00:05:00+02:00,eth0,832.91
2025-09-01T00:05:00+02:00,eth1,351.727
2025-09-01T00:05:00+02:00,wlan0,86.756
2025-09-01T00:10:00+02:00,eth0,761.846
2025-09-01T00:10:00+02:00,eth1,367.346
2025-09-01T00:10:00+02:00,wlan0,90.772
2025-09-01T00:15:00+02:00,eth0,745.525
2025-09-01T00:15:00+02:00,eth1,349.119
2025-09-01T00:15:00+02:00,wlan0,88.095
2025-09-01T00:20:00+02:00,eth0,835.581
2025-09-01T00:20:00+02:00,eth1,336.789
2025-09-01T00:20:00+02:00,wlan0,95.84
2025-09-01T00:25:00+02:00,eth0,809.708
2025-09-01T00:25:00+02:00,eth1,331.714
2025-09-01T00:25:00+02:00,wlan0,84.922
2025-09-01T00:30:00+02:00,eth0,816.002
2025-09-01T00:30:00+02:00,eth1,353.666
2025-09-01T00:30:00+02:00,wlan0,98.074
2025-09-01T00:35:00+02:00,eth0,840.485
2025-09-01T00:35:00+02:00,eth1,368.08
2025-09-01T00:35:00+02:00,wlan0,97.68
2025-09-01T00:40:00+02:00,eth0,835.941
2025-09-01T00:40:00+02:00,eth1,388.673
2025-09-01T00:40:00+02:00,wlan0,93.097
2025-09-01T00:45:00+02:00,eth0,865.18
2025-09-01T00:45:00+02:00,eth1,363.387
2025-09-01T00:45:00+02:00,wlan0,88.169
2025-09-01T00:50:00+02:00,eth0,863.005
2025-09-01T00:50:00+02:00,eth1,351.385
2025-09-01T00:50:00+02:00,wlan0,97.303
2025-09-01T00:55:00+02:00,eth0,817.283
2025-09-01T00:55:00+02:00,eth1,347.819
2025-09-01T00:55:00+02:00,wlan0,88.007
2025-09-01T01:00:00+02:00,eth0,804.595
2025-09-01T01:00:00+02:00,eth1,357.284
2025-09-01T01:00:00+02:00,wlan0,89.284
2025-09-01T01:05:00+02:00,eth0,820.824
2025-09-01T01:05:00+02:00,eth1,323.722
2025-09-01T01:05:00+02:00,wlan0,90.326
2025-09-01T01:10:00+02:00,eth0,797.253
2025-09-01T01:10:00+02:00,eth1,368.257
2025-09-01T01:10:00+02:00,wlan0,99.128
2025-09-01T01:15:00+02:00,eth0,835.327
2025-09-01T01:15:00+02:00,eth1,374.099
2025-09-01T01:15:00+02:00,wlan0,107.019
2025-09-01T01:20:00+02:00,eth0,809.554
2025-09-01T01:20:00+02:00,eth1,352.436
2025-09-01T01:20:00+02:00,wlan0,82.659
2025-09-01T01:25:00+02:00,eth0,824.847
2025-09-01T01:25:00+02:00,eth1,346.991
2025-09-01T01:25:00+02:00,wlan0,88.249
2025-09-01T01:30:00+02:00,eth0,815.354
2025-09-01T01:30:00+02:00,eth1,388.958
2025-09-01T01:30:00+02:00,wlan0,92.653
2025-09-01T01:35:00+02:00,eth0,837.9
2025-09-01T01:35:00+02:00,eth1,367.992
2025-09-01T01:35:00+02:00,wlan0,93.344
2025-09-01T01:40:00+02:00,eth0,1148.793
2025-09-01T01:40:00+02:00,eth1,348.871
2025-09-01T01:40:00+02:00,wlan0,96.298
2025-09-01T01:45:00+02:00,eth0,769.249
2025-09-01T01:45:00+02:00,eth1,371.833
2025-09-01T01:45:00+02:00,wlan0,97.89
2025-09-01T01:50:00+02:00,eth0,843.008
2025-09-01T01:50:00+02:00,eth1,358.746
2025-09-01T01:50:00+02:00,wlan0,80.336
2025-09-01T01:55:00+02:00,eth0,806.934
2025-09-01T01:55:00+02:00,eth1,361.259
2025-09-01T01:55:00+02:00,wlan0,96.488
2025-09-01T02:00:00+02:00,eth0,850.614
2025-09-01T02:00:00+02:00,eth1,357.113
2025-09-01T02:00:00+02:00,wlan0,95.715
2025-09-01T02:05:00+02:00,eth0,879.809
2025-09-01T02:05:00+02:00,eth1,385.33
2025-09-01T02:05:00+02:00,wlan0,91.431
2025-09-01T02:10:00+02:00,eth0,846.022
2025-09-01T02:10:00+02:00,eth1,352.34
2025-09-01T02:10:00+02:00,wlan0,101.885
2025-09-01T02:15:00+02:00,eth0,810.66
2025-09-01T02:15:00+02:00,eth1,341.614
2025-09-01T02:15:00+02:00,wlan0,79.911
2025-09-01T02:20:00+02:00,eth0,739.406
2025-09-01T02:20:00+02:00,eth1,372.072
2025-09-01T02:20:00+02:00,wlan0,84.533
2025-09-01T02:25:00+02:00,eth0,798.158
2025-09-01T02:25:00+02:00,eth1,412.979
2025-09-01T02:25:00+02:00,wlan0,105.125
2025-09-01T02:30:00+02:00,eth0,854.105
2025-09-01T02:30:00+02:00,eth1,352.912
2025-09-01T02:30:00+02:00,wlan0,85.582
2025-09-01T02:35:00+02:00,eth0,879.301
2025-09-01T02:35:00+02:00,eth1,384.689
2025-09-01T02:35:00+02:00,wlan0,100.944
2025-09-01T02:40:00+02:00,eth0,760.47
2025-09-01T02:40:00+02:00,eth1,402.969
2025-09-01T02:40:00+02:00,wlan0,89.743
2025-09-01T02:45:00+02:00,eth0,889.15
2025-09-01T02:45:00+02:00,eth1,326.522
2025-09-01T02:45:00+02:00,wlan0,81.854
2025-09-01T02:50:00+02:00,eth0,817.37
2025-09-01T02:50:00+02:00,eth1,413.723
2025-09-01T02:50:00+02:00,wlan0,90.172
2025-09-01T02:55:00+02:00,eth0,818.26
2025-09-01T02:55:00+02:00,eth1,354.818
2025-09-01T02:55:00+02:00,wlan0,107.615
2025-09-01T03:00:00+02:00,eth0,797.197
2025-09-01T03:00:00+02:00,eth1,371.646
2025-09-01T03:00:00+02:00,wlan0,87.207
2025-09-01T03:05:00+02:00,eth0,803.302
2025-09-01T03:05:00+02:00,eth1,355.29
2025-09-01T03:05:00+02:00,wlan0,98.547
2025-09-01T03:10:00+02:00,eth0,746.919
2025-09-01T03:10:00+02:00,eth1,343.88
2025-09-01T03:10:00+02:00,wlan0,103.719
2025-09-01T03:15:00+02:00,eth0,801.789
2025-09-01T03:15:00+02:00,eth1,358.253
2025-09-01T03:15:00+02:00,wlan0,99.298
2025-09-01T03:20:00+02:00,eth0,809.513
2025-09-01T03:20:00+02:00,eth1,356.898
2025-09-01T03:20:00+02:00,wlan0,78.85
2025-09-01T03:25:00+02:00,eth0,803.51
2025-09-01T03:25:00+02:00,eth1,355.638
2025-09-01T03:25:00+02:00,wlan0,92.339
2025-09-01T03:30:00+02:00,eth0,847.004
2025-09-01T03:30:00+02:00,eth1,397.26
2025-09-01T03:30:00+02:00,wlan0,96.719
2025-09-01T03:35:00+02:00,eth0,858.465
2025-09-01T03:35:00+02:00,eth1,393.691
2025-09-01T03:35:00+02:00,wlan0,89.071
2025-09-01T03:40:00+02:00,eth0,743.24
2025-09-01T03:40:00+02:00,eth1,402.526
2025-09-01T03:40:00+02:00,wlan0,87.664
2025-09-01T03:45:00+02:00,eth0,824.002
2025-09-01T03:45:00+02:00,eth1,381.522
2025-09-01T03:45:00+02:00,wlan0,93.584
2025-09-01T03:50:00+02:00,eth0,829.971
2025-09-01T03:50:00+02:00,eth1,391.903
2025-09-01T03:50:00+02:00,wlan0,110.126
2025-09-01T03:55:00+02:00,eth0,844.738
2025-09-01T03:55:00+02:00,eth1,370.601
2025-09-01T03:55:00+02:00,wlan0,100.527
2025-09-01T04:00:00+02:00,eth0,871.149
2025-09-01T04:00:00+02:00,eth1,337.228
2025-09-01T04:00:00+02:00,wlan0,79.012
2025-09-01T04:05:00+02:00,eth0,845.752
2025-09-01T04:05:00+02:00,eth1,388.903
2025-09-01T04:05:00+02:00,wlan0,104.591
2025-09-01T04:10:00+02:00,eth0,829.77
2025-09-01T04:10:00+02:00,eth1,369.077
2025-09-01T04:10:00+02:00,wlan0,96.237
2025-09-01T04:15:00+02:00,eth0,830.775
2025-09-01T04:15:00+02:00,eth1,373.232
2025-09-01T04:15:00+02:00,wlan0,93.435
2025-09-01T04:20:00+02:00,eth0,896.455
2025-09-01T04:20:00+02:00,eth1,382.362
2025-09-01T04:20:00+02:00,wlan0,83.764
2025-09-01T04:25:00+02:00,eth0,858.857
2025-09-01T04:25:00+02:00,eth1,381.693
2025-09-01T04:25:00+02:00,wlan0,109.567
2025-09-01T04:30:00+02:00,eth0,880.191
2025-09-01T04:30:00+02:00,eth1,380.929
2025-09-01T04:30:00+02:00,wlan0,105.57
2025-09-01T04:35:00+02:00,eth0,875.993
2025-09-01T04:35:00+02:00,eth1,343.778
2025-09-01T04:35:00+02:00,wlan0,105.431
2025-09-01T04:40:00+02:00,eth0,823.224
2025-09-01T04:40:00+02:00,eth1,405.901
2025-09-01T04:40:00+02:00,wlan0,94.693
2025-09-01T04:45:00+02:00,eth0,876.426
2025-09-01T04:45:00+02:00,eth1,402.51
2025-09-01T04:45:00+02:00,wlan0,84.205
2025-09-01T04:50:00+02:00,eth0,802.461
2025-09-01T04:50:00+02:00,eth1,390.683
2025-09-01T04:50:00+02:00,wlan0,91.882
2025-09-01T04:55:00+02:00,eth0,829.491
2025-09-01T04:55:00+02:00,eth1,353.151
2025-09-01T04:55:00+02:00,wlan0,94.022
2025-09-01T05:00:00+02:00,eth0,871.175
2025-09-01T05:00:00+02:00,eth1,406.859
2025-09-01T05:00:00+02:00,wlan0,102.077
2025-09-01T05:05:00+02:00,eth0,827.919
2025-09-01T05:05:00+02:00,eth1,431.213
2025-09-01T05:05:00+02:00,wlan0,93.602
2025-09-01T05:10:00+02:00,eth0,889.002
2025-09-01T05:10:00+02:00,eth1,364.967
2025-09-01T05:10:00+02:00,wlan0,107.61
2025-09-01T05:15:00+02:00,eth0,758.959
2025-09-01T05:15:00+02:00,eth1,364.528
2025-09-01T05:15:00+02:00,wlan0,91.53
2025-09-01T05:20:00+02:00,eth0,901.796
2025-09-01T05:20:00+02:00,eth1,399.885
2025-09-01T05:20:00+02:00,wlan0,93.399
2025-09-01T05:25:00+02:00,eth0,925.292
2025-09-01T05:25:00+02:00,eth1,349.629
2025-09-01T05:25:00+02:00,wlan0,104.036
2025-09-01T05:30:00+02:00,eth0,846.187
2025-09-01T05:30:00+02:00,eth1,376.51
2025-09-01T05:30:00+02:00,wlan0,78.487
2025-09-01T05:35:00+02:00,eth0,894.473
2025-09-01T05:35:00+02:00,eth1,394.936
2025-09-01T05:35:00+02:00,wlan0,99.599
2025-09-01T05:40:00+02:00,eth0,951.473
2025-09-01T05:40:00+02:00,eth1,423.775
2025-09-01T05:40:00+02:00,wlan0,99.944
2025-09-01T05:45:00+02:00,eth0,762.831
2025-09-01T05:45:00+02:00,eth1,369.828
2025-09-01T05:45:00+02:00,wlan0,100.161
2025-09-01T05:50:00+02:00,eth0,851.197
2025-09-01T05:50:00+02:00,eth1,409.079
2025-09-01T05:50:00+02:00,wlan0,85.192
2025-09-01T05:55:00+02:00,eth0,836.856
2025-09-01T05:55:00+02:00,eth1,398.567
2025-09-01T05:55:00+02:00,wlan0,99.464
2025-09-01T06:00:00+02:00,eth0,876.332
2025-09-01T06:00:00+02:00,eth1,398.781
2025-09-01T06:00:00+02:00,wlan0,103.203
2025-09-01T06:05:00+02:00,eth0,925.568
2025-09-01T06:05:00+02:00,eth1,392.875
2025-09-01T06:05:00+02:00,wlan0,109.227
2025-09-01T06:10:00+02:00,eth0,824.086
2025-09-01T06:10:00+02:00,eth1,399.605
2025-09-01T06:10:00+02:00,wlan0,93.185
2025-09-01T06:15:00+02:00,eth0,901.981
2025-09-01T06:15:00+02:00,eth1,410.914
2025-09-01T06:15:00+02:00,wlan0,109.537
2025-09-01T06:20:00+02:00,eth0,850.135
2025-09-01T06:20:00+02:00,eth1,385.866
2025-09-01T06:20:00+02:00,wlan0,97.945
2025-09-01T06:25:00+02:00,eth0,930.327
2025-09-01T06:25:00+02:00,eth1,429.462
2025-09-01T06:25:00+02:00,wlan0,97.596
2025-09-01T06:30:00+02:00,eth0,956.05
2025-09-01T06:30:00+02:00,eth1,425.448
2025-09-01T06:30:00+02:00,wlan0,102.598
2025-09-01T06:35:00+02:00,eth0,937.571
2025-09-01T06:35:00+02:00,eth1,410.477
2025-09-01T06:35:00+02:00,wlan0,121.543
2025-09-01T06:40:00+02:00,eth0,979.052
2025-09-01T06:40:00+02:00,eth1,420.3
2025-09-01T06:40:00+02:00,wlan0,92.063
2025-09-01T06:45:00+02:00,eth0,986.939
2025-09-01T06:45:00+02:00,eth1,460.933
2025-09-01T06:45:00+02:00,wlan0,106.47
2025-09-01T06:50:00+02:00,eth0,949.338
2025-09-01T06:50:00+02:00,eth1,365.447
2025-09-01T06:50:00+02:00,wlan0,91.695
2025-09-01T06:55:00+02:00,eth0,908.684
2025-09-01T06:55:00+02:00,eth1,429.69
2025-09-01T06:55:00+02:00,wlan0,102.221
2025-09-01T07:00:00+02:00,eth0,882.373
2025-09-01T07:00:00+02:00,eth1,425.711
2025-09-01T07:00:00+02:00,wlan0,103.85
2025-09-01T07:05:00+02:00,eth0,933.419
2025-09-01T07:05:00+02:00,eth1,414.893
2025-09-01T07:05:00+02:00,wlan0,105.46
2025-09-01T07:10:00+02:00,eth0,986.743
2025-09-01T07:10:00+02:00,eth1,365.853
2025-09-01T07:10:00+02:00,wlan0,106.934
2025-09-01T07:15:00+02:00,eth0,925.197
2025-09-01T07:15:00+02:00,eth1,413.688
2025-09-01T07:15:00+02:00,wlan0,104.709
2025-09-01T07:20:00+02:00,eth0,911.482
2025-09-01T07:20:00+02:00,eth1,408.281
2025-09-01T07:20:00+02:00,wlan0,109.465
2025-09-01T07:25:00+02:00,eth0,901.881
2025-09-01T07:25:00+02:00,eth1,429.498
2025-09-01T07:25:00+02:00,wlan0,108.097
2025-09-01T07:30:00+02:00,eth0,881.648
2025-09-01T07:30:00+02:00,eth1,462.091
2025-09-01T07:30:00+02:00,wlan0,116.568
2025-09-01T07:35:00+02:00,eth0,882.82
2025-09-01T07:35:00+02:00,eth1,393.756
2025-09-01T07:35:00+02:00,wlan0,103.119
2025-09-01T07:40:00+02:00,eth0,996.399
2025-09-01T07:40:00+02:00,eth1,430.267
2025-09-01T07:40:00+02:00,wlan0,123.886
2025-09-01T07:45:00+02:00,eth0,989.072
2025-09-01T07:45:00+02:00,eth1,407.213
